foodid,foodname,type_1,type_2,image
1,파스타,식사,양식,
2,두루치기,요리,한식,
3,깐풍육,요리,중식,
4,그라탕,식사,양식,
5,오므라이스,식사,일식,
6,빠에야,식사,양식,
7,떡볶이,식사/요리/간식,한식,
8,오코노미야키,요리/간식,일식,
9,활어회,요리,한식,
10,뿌팟퐁커리,식사/요리,이외,
11,수육,요리,한식,
12,고추잡채,요리,중식,
13,돼지불고기,식사/요리,한식,
14,제육볶음,식사/요리,한식,
15,소곱창,요리,한식,
16,꼬치,요리/간식,일식,
17,쏨땀,식사/간식,이외,
18,바비큐,요리,양식,
19,라멘,식사,일식,
20,덮밥,식사,이외,
21,돼지국밥,식사,한식,
22,탄두리치킨,요리,이외,
23,토스트,식사/간식,양식,
24,팔보채,요리,중식,
25,생선까스,식사,일식,
26,백반,식사,한식,
27,아귀찜,식사/요리,한식,
28,퀘사디아,식사,양식,
29,돼지막창,요리,한식,
30,핫도그,식사/간식,양식,
31,메밀소바,식사,일식,
32,떡국,식사,한식,
33,쫄면,식사/간식,한식,
34,훈제오리,요리,한식,
35,삼겹살구이,요리,한식,
36,닭발,요리,한식,
37,탄탄멘,식사,일식,
38,규카츠,식사,일식,
39,파니니,식사,양식,
40,미고랭,식사,이외,
41,족발,요리,한식,
42,분식튀김,식사/요리/간식,한식,
43,오리불고기,식사/요리,한식,
44,어향동고,요리,중식,
45,소불고기,식사/요리,한식,
46,와플,식사/간식,양식,
47,쪽갈비,요리,한식,
48,주먹밥,식사/간식,한식,
49,라조육,요리,중식,
50,중식볶음밥,식사,중식,
51,볶음밥,식사,한식,
52,돼지곱창,요리,한식,
53,팬케이크,식사/간식,양식,
54,똠양꿍,식사/요리,이외,
55,부대찌개,식사,한식,
56,멘보샤,요리,중식,
57,물냉면,식사,한식,
58,꼬리곰탕,식사,한식,
59,탕수육,요리,중식,
60,닭개장,식사,한식,
61,짜장면,식사,중식,
62,곱창전골,요리,한식,
63,라면,식사/간식,한식,
64,에그베네딕트,식사/간식,양식,
65,보쌈,요리,한식,
66,소갈비찜,식사/요리,한식,
67,야끼소바,식사,일식,
68,감자탕,요리,한식,
69,김밥,식사/간식,한식,
70,랍스터,요리,양식,
71,갈비탕,식사,한식,
72,깐풍새우,요리,중식,
73,나시고랭,식사,이외,
74,닭갈비,식사/요리,한식,
75,얌운센,식사/간식,이외,
76,콩국수,식사,한식,
77,조개찜,요리,한식,
78,브리또,식사,양식,
79,샌드위치,식사/간식,양식,
80,마라롱샤,요리,중식,
81,딤섬,요리/간식,중식,
82,닭강정,요리/간식,한식,
83,마라샹궈,요리,중식,
84,우동,식사,일식,
85,돼지갈비찜,식사/요리,한식,
86,양장피,요리,중식,
87,카레,식사,일식,
88,소세지,요리/간식,양식,
89,훠궈,식사/요리,중식,
90,고로케,요리/간식,일식,
91,리조또,식사,양식,
92,죽,식사,한식,
93,라따뚜이,요리,양식,
94,백숙,식사/요리,한식,
95,삼계탕,식사/요리,한식,
96,물만두,요리/간식,중식,
97,감바스,요리,양식,
98,치킨,요리,일식,
99,소고기구이,요리,한식,
100,동파육,요리,중식,
101,타코야키,요리/간식,일식,
102,깐쇼새우,요리,중식,
103,닭꼬치,요리/간식,한식,
104,삼각김밥,식사/간식,한식,
105,오리주물럭,식사/요리,한식,
106,스테이크,식사/요리,양식,
107,돼지불백,식사,한식,
108,유산슬,요리,중식,
109,떡갈비,식사/요리,한식,
110,월남쌈,식사/요리,이외,
111,대게,요리,한식,
112,치킨,식사/요리,한식,
113,샐러드,식사/간식,양식,
114,맥앤치즈,요리,양식,
115,닭볶음탕,식사/요리,한식,
116,버섯탕수,요리,중식,
117,마파두부,요리,중식,
118,순대,식사/요리/간식,한식,
119,굴구이,요리,한식,
120,깐풍기,요리,중식,
121,샤브샤브,식사/요리,한식,
122,치킨까스,식사,일식,
123,수제비,식사,한식,
124,스키야키,식사,일식,
125,쌀국수,식사,이외,
126,해장국,식사,한식,
127,돈까스,식사,일식,
128,편육,요리,한식,
129,팟타이,식사,이외,
130,타코,식사,양식,
131,멘치까스,요리/간식,일식,
132,피자,식사/요리,양식,
133,오리로스,식사/요리,한식,
134,마라탕,식사/요리,중식,
135,반미,식사/간식,이외,
136,햄버거,식사,양식,
137,짬뽕,식사,중식,
138,칠리새우,요리,중식,
139,비빔밥,식사,한식,
140,육회,요리,한식,
141,꼬꼬뱅,식사/요리,양식,
142,육개장,식사,한식,
143,유부초밥,식사,일식,
144,라자냐,식사,양식,
145,오믈렛,식사,양식,
146,코다리찜,요리,한식,
147,교자(일식만두),요리/간식,일식,
148,라조기,요리,중식,
149,타파스,요리,양식,
150,소막창,요리,한식,
151,칼국수,식사,한식,
152,샐러드,식사/요리,이외,
