weight_group,회,해장국n국밥,한정식,찌개n전골n국n탕,철판구이n볶음밥,냉면n냉국수,설렁탕n곰탕,라면n칼국수n국수n수제비,감자탕n추어탕,해물탕n해물요리,죽,비빔밥n돌솥밥n쌈밥,순대국,양식,햄버거,피자,스테이크,씨푸드,돈가스,중국음식,일본음식,지중해요리,태국음식,인도음식,남미요리,동남아요리,카레,샤브샤브,쌀국수,지중해음식,이슬람음식,베이커리n제과,카페,아이스크림,분식n브런치,돼지고기류,전골n수육,소고기류,곱창n대창,오리고기류,닭고기류,족발n보쌈,치킨n훈제,삼계탕n백숙n찜닭,양고기류
sex_1,3.428571429,3.625,2.333333333,3.142857143,0,0,2.277777778,2.928571429,3,2.882352941,3.75,2.8125,0,2.941176471,0,1.5,1.75,2.5,3.166666667,2.448275862,2.842105263,0,1.25,1.5,2,2.416666667,1.5,3,0,4,1.25,0,0,0,2.880952381,2.5,3,2.833333333,3.4,1.75,1.75,1.666666667,3.166666667,1.833333333,3.5
sex_2,1.75,2.625,2.875,3.1875,1.625,4.25,3.642857143,3.416666667,3.166666667,2.804347826,1,2.45,0,3.1,5,4,3.7,2.75,3,2.573529412,2.681818182,2.875,3,1,1.5,2.25,5,0,0,4.125,2.25,0,0,0,2.681818182,2.80952381,3.75,3.5,2.928571429,3.2,0.5,0,2.75,3,1
age_10,2.25,4,3.5,3.571428571,0.5,4.25,2.5,4,2.5,2.272727273,5,2.416666667,0,3.3,0,0,3.166666667,0,0,2.294117647,3.111111111,3.5,2.5,0,0,2.166666667,0,0,0,4.75,0,0,0,0,3.388888889,2.363636364,4,2.5,3.75,2.3,2,1,3,0,5
age_20,3,4,0,4.2,0,0,3.666666667,1,5,2.791666667,3.5,3,0,2.916666667,5,0,2.5,0,3.166666667,2.184210526,2.5,0,2.25,1.25,1.5,2.8,1.5,0,0,4,1.25,0,0,0,2.1875,3.136363636,3,3.833333333,3.416666667,4,0,0,3.25,1.25,2.25
age_30,3.666666667,2.25,4,3.25,3,0,1.875,1.5,3,2.857142857,1,1.75,0,3.4,0,4,0,0,2,2.625,2.777777778,2.5,1,0,2,1.5,5,0,0,2,1,0,0,0,2.818181818,2.833333333,3.25,3.625,3.5,0,0.75,0,2.25,4,1
age_40,0,3,0,2,1.5,0,4.5,4.125,0,2.875,2.5,3.5,0,3.0625,0,4,1,2.5,0,3,2.5,2.75,3.5,0,0,1.5,0,0,0,0,2,0,0,0,2.222222222,2.45,2.875,3.333333333,2.5,4,2,0,0,2.75,0
age_50,0,2.5,1.166666667,2,0,0,2.833333333,3,0,3.916666667,4,2.75,0,2.714285714,0,1.5,3,2.666666667,3.666666667,3,2.388888889,0,0,0,0,0,0,3,0,5,5,0,0,0,3.416666667,2.666666667,5,2,1,0,0,3,0,0,4.5
sex_1_num,7,4,3,7,0,0,9,7,2,17,4,8,0,17,0,1,4,2,3,29,19,0,2,1,1,6,1,1,0,1,2,0,0,0,21,17,5,6,5,2,4,3,3,3,4
sex_2_num,2,4,4,16,4,2,7,6,3,23,1,10,0,20,1,2,5,2,5,34,22,4,3,1,1,4,1,0,0,4,4,0,0,0,22,21,4,8,7,5,1,0,4,4,1
age_10_num,2,2,2,7,1,2,4,1,3,11,1,6,0,5,0,0,6,0,0,17,9,1,1,0,0,3,0,0,0,2,0,0,0,0,9,11,1,2,2,5,1,2,1,0,1
age_20_num,4,1,0,5,0,0,3,1,1,12,1,2,0,12,1,0,1,0,3,19,12,0,2,2,1,5,1,0,0,1,2,0,0,0,8,11,1,3,6,1,0,0,4,2,2
age_30_num,3,2,2,4,1,0,4,1,1,7,1,4,0,5,0,1,0,0,2,8,9,1,1,0,1,1,1,0,0,1,2,0,0,0,11,3,2,4,1,0,2,0,2,1,1
age_40_num,0,2,0,4,2,0,2,4,0,4,1,4,0,8,0,1,1,1,0,5,1,2,1,0,0,1,0,0,0,0,1,0,0,0,9,10,4,3,2,1,2,0,0,4,0
age_50_num,0,1,3,3,0,0,3,6,0,6,1,2,0,7,0,1,1,3,3,14,9,0,0,0,0,0,0,1,0,1,1,0,0,0,6,3,1,2,1,0,0,1,0,0,1
